region,commune,number_of_municipalities_in_region,school_water_source_municipality,school_water_source_ranking_below,school_latrine_municipality,school_latrine_ranking_below,school_supplies_delay_municipality,school_supplies_delay_ranking_below,CEP_admission_municipality,CEP_admission_ranking_below,functional_water_source_municipality,functional_water_source_ranking_below,CSPS_gas_municipality,CSPS_gas_ranking_below,vaccinated_infants_municipality,vaccinated_infants_ranking_below,assisted_deliveries_municipality,assisted_deliveries_ranking_below,birth_certificate_municipality,birth_certificate_ranking_below,summary_performance,summary_municipality,summary_ranking_below
CAS,BANFORA,17,62,0,80,0,12,8,52,13,77,1,13,9,87,15,68,10,42,6,PLUS,57,3
CAS,BEREGADOUGOU,17,60,1,30,12,10,4,70,8,38,15,0,10,78,16,66,12,52,2,MOINS,39,16
CAS,DAKORO,17,11,11,33,11,14,10,77,6,56,7,0,10,115,6,108,1,48,3,AUTANT,47,6
CAS,DOUNA,17,34,4,30,12,5,2,87,2,82,0,100,0,95,13,65,14,47,4,PLUS,61,0
CAS,KANKALABA,17,34,4,20,14,18,11,84,3,65,2,0,10,97,12,65,13,36,8,AUTANT,42,7
CAS,LOUMANA,17,7,13,20,14,83,16,71,7,55,9,29,6,113,8,105,3,60,0,AUTANT,47,7
CAS,MANGODARA,17,25,9,63,3,13,9,53,12,44,14,25,7,132,2,82,7,25,12,MOINS,46,14
CAS,MOUSSODOUGOU,17,44,2,10,16,10,4,90,0,52,11,50,4,103,10,68,11,28,11,PLUS,50,3
CAS,NIANGOLOKO,17,28,6,40,7,-4,0,45,14,55,10,0,10,137,1,102,4,40,7,MOINS,50,13
CAS,NIANKORODOUGOU,17,0,15,40,7,12,7,58,10,55,8,80,3,129,3,109,0,53,1,PLUS,57,1
CAS,OUELENI,17,26,8,40,7,0,1,77,5,60,4,0,10,108,9,106,2,35,9,PLUS,55,1
CAS,OUO,17,41,3,41,6,21,13,62,9,57,6,100,0,113,7,58,15,12,16,AUTANT,48,10
CAS,SIDERADOUGOU,17,2,14,43,5,27,14,58,11,47,12,40,5,141,0,92,6,18,15,AUTANT,46,10
CAS,SINDOU,17,10,12,70,2,8,3,82,4,28,16,0,10,98,11,48,16,42,5,MOINS,37,14
CAS,SOUBAKANIEDOUGOU,17,23,10,80,0,10,6,34,16,61,3,25,7,119,5,80,8,35,10,MOINS,47,12
CAS,TIEFORA,17,28,6,60,4,19,12,42,15,47,13,100,0,122,4,73,9,19,13,AUTANT,49,9
CAS,WOLONKOTO,17,0,15,40,7,41,15,87,1,59,5,0,10,92,14,100,5,18,14,AUTANT,46,5
CE_E,ANDEMTENGA,30,65,16,50,20,41,25,72,3,77,15,0,19,103,8,84,2,97,2,PLUS,65,9
CE_E,BAGRE,30,48,24,80,1,0,4,77,1,73,18,71,11,131,1,102,1,38,15,PLUS,77,1
CE_E,BANE,30,40,27,70,5,-9,1,55,22,80,12,67,12,98,11,78,8,14,25,AUTANT,63,12
CE_E,BASKOURE,30,74,9,70,5,21,19,62,15,98,0,100,0,79,28,64,18,56,11,PLUS,70,7
CE_E,BEGUEDO,30,78,7,56,18,2,6,69,7,85,9,100,0,97,13,84,3,76,5,PLUS,77,2
CE_E,BISSIGA,30,90,2,50,20,45,27,37,28,79,14,100,0,84,23,70,12,34,16,AUTANT,61,15
CE_E,BITTOU,30,38,28,38,28,21,20,70,5,40,28,50,15,105,7,81,6,29,20,MOINS,45,25
CE_E,BOUSSOUMAH,30,93,1,40,26,6,10,65,12,87,7,100,0,84,24,65,16,70,7,PLUS,72,5
CE_E,COMIN-YANGA,30,76,8,53,19,-2,3,40,27,56,25,0,19,109,4,0,23,21,22,MOINS,44,26
CE_E,DIALGAYE,30,79,6,67,9,0,5,58,20,89,6,83,10,90,17,68,13,33,17,PLUS,68,8
CE_E,DOURTENGA,30,42,26,50,20,31,22,68,8,72,20,0,19,106,6,0,23,40,14,MOINS,41,29
CE_E,GARANGO,30,95,0,40,26,4,9,46,25,84,10,90,8,81,27,64,19,65,8,AUTANT,65,12
CE_E,GOUNGHIN,30,60,20,65,12,9,11,68,9,90,5,88,9,83,25,71,10,96,3,PLUS,73,4
CE_E,KANDO,30,73,11,67,9,42,26,71,4,79,13,0,19,89,20,72,9,27,21,AUTANT,56,19
CE_E,KOMTOEGA,30,70,13,60,14,-12,0,51,23,96,1,0,19,81,26,68,15,51,12,PLUS,66,11
CE_E,KOUPELA,30,87,4,67,9,35,23,60,18,83,11,67,12,106,5,122,0,100,1,PLUS,83,0
CE_E,LALGAYE,30,54,22,50,20,-6,2,44,26,72,19,100,0,88,21,0,23,20,23,MOINS,50,26
CE_E,NIAOGO,30,90,2,90,0,12,13,66,11,86,8,100,0,91,16,64,17,47,13,PLUS,78,2
CE_E,OUARGAYE,30,84,5,65,12,10,12,63,13,26,29,25,17,98,10,71,11,2,29,MOINS,51,20
CE_E,POUYTENGA,30,51,23,60,14,104,28,60,17,91,4,0,19,90,18,80,7,60,9,AUTANT,57,15
CE_E,SANGA,30,68,14,47,24,14,15,67,10,59,24,67,12,89,19,0,23,8,27,MOINS,46,21
CE_E,SOUDOUGUI,30,43,25,73,4,21,18,76,2,48,26,0,19,97,12,0,23,6,28,MOINS,40,23
CE_E,TENKODOGO,30,74,10,76,3,13,14,62,14,77,16,0,19,96,14,63,20,33,18,AUTANT,58,15
CE_E,TENSOBENTENGA,30,62,18,70,5,18,16,49,24,95,3,0,19,95,15,57,22,19,24,AUTANT,51,14
CE_E,YARGATENGA,30,68,15,33,29,2,6,57,21,47,27,100,0,116,3,0,23,59,10,MOINS,52,26
CE_E,YARGO,30,71,12,78,2,37,24,37,29,96,2,100,0,85,22,68,14,71,6,PLUS,70,9
CE_E,YONDE,30,64,17,70,5,19,17,60,16,65,22,25,17,77,29,0,23,33,19,MOINS,46,22
CE_E,ZABRE,30,55,21,60,14,22,21,59,19,66,21,27,16,116,2,81,5,77,4,AUTANT,60,15
CE_E,ZOAGA,30,22,29,44,25,178,29,81,0,64,23,0,19,99,9,59,21,10,26,MOINS,37,24
CE_E,ZONSE,30,62,18,60,14,3,8,69,6,73,17,0,19,133,0,81,4,142,0,PLUS,71,6
CE_N,BARSALOGHO,28,81,5,94,2,18,22,43,26,65,23,0,7,104,6,81,8,33,10,AUTANT,61,12
CE_N,BOALA,28,76,9,90,4,8,13,46,23,79,6,50,2,79,18,42,27,24,20,MOINS,56,20
CE_N,BOULSA,28,78,6,71,16,1,2,69,9,69,16,0,7,92,15,68,16,47,7,AUTANT,59,7
CE_N,BOUROUM,28,87,2,93,3,8,14,81,3,57,26,0,7,117,2,85,4,23,22,PLUS,69,1
CE_N,BOURZANGA,28,40,26,79,11,5,9,86,2,58,25,0,7,4,26,80,10,37,8,AUTANT,51,15
CE_N,BOUSSOUMA,28,77,7,48,24,14,19,62,16,74,10,0,7,93,14,58,24,23,23,MOINS,48,23
CE_N,DABLO,28,100,0,90,4,9,17,49,21,71,15,0,7,106,5,65,19,22,24,PLUS,71,3
CE_N,DARGO,28,88,1,73,15,5,8,75,5,66,21,50,2,127,0,83,5,25,18,PLUS,73,0
CE_N,GUIBARE,28,61,17,53,23,0,1,69,10,78,7,0,7,9,22,102,2,70,0,AUTANT,58,10
CE_N,KAYA,28,69,14,57,22,3,7,68,12,81,2,9,6,95,12,61,21,19,26,MOINS,53,19
CE_N,KONGOUSSI,28,72,12,64,19,-3,0,51,19,80,5,0,7,2,27,137,0,37,9,AUTANT,59,11
CE_N,KORSIMORO,28,41,25,20,27,5,10,74,6,74,11,14,5,101,8,58,24,19,27,MOINS,42,24
CE_N,MANE,28,73,11,47,25,2,4,80,4,78,8,0,7,91,16,58,23,32,11,AUTANT,55,7
CE_N,NAGBINGOU,28,84,3,100,0,18,23,91,0,61,24,0,7,97,11,69,15,28,14,PLUS,72,1
